symbol,revenue,net_profit,debt,cash_flow,roe,roce,quarter,ingestion_time
20MICRONS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443923
21STCENMGM,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443932
360ONE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443936
3IINFOLTD,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443939
3MINDIA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443941
3PLAND,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443944
5PAISA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443946
63MOONS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443949
A2ZINFRA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443951
AADHARHFC,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443953
AAKASH,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443956
AAREYDRUGS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443958
AARON,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443961
AARTECH,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443963
AARTIDRUGS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443966
AARTIIND,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443969
AARTIPHARM,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443971
AARTISURF,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443974
AARVI,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443977
AAVAS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443979
ABB,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443981
ABBOTINDIA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443984
ABCAPITAL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443986
ABCOTS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443989
ABDL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443992
ABFRL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443994
ABINFRA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443997
ABLBL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.443999
ABREL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444001
ABSLAMC,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444003
ACC,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444006
ACCELYA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444008
ACCURACY,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444011
ACE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444013
ACEINTEG,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444015
ACI,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444016
ACL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444017
ACMESOLAR,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444018
ACUTAAS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444019
ADANIENSOL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444021
ADANIENT,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444022
ADANIGREEN,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444023
ADANIPORTS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444024
ADANIPOWER,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444025
ADFFOODS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444026
ADL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444027
ADOR,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444028
ADROITINFO,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444030
ADSL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444031
ADVAIT,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444032
ADVANCE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444033
ADVANIHOTR,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444034
ADVENTHTL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444035
ADVENZYMES,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444036
AEGISLOG,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444038
AEGISVOPAK,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444039
AEQUS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444040
AEROENTER,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444041
AEROFLEX,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444042
AERONEU,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444043
AETHER,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444044
AFCONS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444045
AFFLE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444046
AFFORDABLE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444048
AFIL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444049
AFSL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444050
AGARIND,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444051
AGARWALEYE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444053
